"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9","total"
"1",1,"61","9","1","1","2","1","4","1","1","1","1","5","11","1","1","1","1","17","14","2","2","1","1","1","1"
"2",2,"23","16","4","2","3","2","2","3","2","2","5","4","89","2","2","1","1","47","54","15","26","1","1","2","2"
"3",3,"1","18","1","1","2","3","4","1","1","1","1","1","18","1","1","1","1","16","1","23","30","1","1","1","1"
"4",4,"27","45","1","1","1","1","3","1","1","1","4","5","82","4","4","1","1","18","19","53","2","1","1","1","1"
"5",5,"3","1","2","2","3","2","2","3","2","2","3","2","11","2","2","2","1","56","8","20","23","1","1","2","2"
"6",6,"57","79","1","1","1","1","3","1","1","1","4","5","80","4","4","1","21","6","59","19","17","1","1","1","3"
"7",7,"39","8","1","1","1","1","3","1","1","1","4","5","55","4","4","1","1","42","20","65","53","1","1","1","3"
"8",8,"52","46","1","1","1","1","3","1","1","1","4","5","63","4","4","1","1","3","7","11","53","1","1","1","3"
"9",9,"13","27","1","1","4","4","1","2","1","1","2","3","26","3","3","1","10","53","66","4","1","1","1","1","1"
"10",10,"2","33","1","1","4","4","1","2","1","1","2","3","12","3","3","1","1","3","55","1","34","1","1","1","1"
"11",11,"27","20","1","1","1","1","3","1","1","1","4","5","28","4","4","1","1","3","2","55","48","1","1","1","1"
"12",12,"2","31","1","1","1","1","3","1","1","1","4","5","50","4","4","1","1","14","29","38","18","1","1","1","1"
"13",13,"45","40","1","1","1","1","3","1","1","1","4","5","92","4","4","1","1","69","1","65","45","1","1","1","1"
"14",14,"2","11","1","1","1","1","3","1","1","1","4","5","2","4","4","1","1","59","8","15","18","1","1","1","1"
"15",15,"46","20","1","1","1","1","3","1","1","1","4","5","31","4","4","1","1","10","1","9","6","1","1","1","1"
"16",16,"2","11","1","1","1","1","3","1","1","1","4","5","14","4","4","1","1","61","37","4","6","1","1","1","1"
"17",17,"8","20","1","1","2","1","4","1","1","1","4","1","50","4","1","1","1","36","2","23","6","1","1","1","1"
"18",18,"31","36","1","1","1","1","1","1","1","1","4","5","37","4","4","1","1","9","42","40","8","1","1","1","1"
"19",19,"2","20","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","16","17","1","5","1","1","1","1"
"20",20,"2","51","1","1","1","1","3","1","1","1","4","5","2","4","4","1","1","6","7","19","25","1","1","1","1"
"21",21,"8","1","1","1","1","1","3","1","1","1","4","5","10","4","4","1","1","30","21","3","34","1","1","1","1"
"22",22,"2","51","1","1","1","1","3","1","1","1","4","5","58","4","4","1","1","28","17","29","4","1","1","1","1"
"23",23,"1","22","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","14","17","21","4","1","1","1","1"
"24",24,"2","31","1","1","1","1","3","1","1","1","4","5","7","4","4","1","1","15","7","22","22","1","1","1","1"
"25",25,"2","4","1","1","1","1","3","1","1","1","4","5","55","4","4","1","1","16","43","38","21","1","1","1","1"
"26",26,"2","36","1","1","1","1","3","1","1","1","4","5","7","4","4","1","23","25","75","63","4","1","1","1","1"
"27",27,"41","4","1","1","4","4","1","2","1","1","2","3","35","3","3","1","1","71","4","16","15","1","1","1","1"
"28",28,"2","8","1","1","1","1","3","1","1","1","4","5","38","4","4","1","1","48","28","1","25","1","1","1","1"
"29",29,"21","4","1","2","3","2","2","4","2","5","5","4","59","5","2","1","1","44","45","16","23","1","1","2","5"
"30",30,"24","29","1","1","2","3","4","1","1","1","1","1","14","1","1","1","1","17","28","25","4","1","1","1","1"
"31",31,"1","23","1","1","2","3","4","1","4","3","1","1","31","1","1","1","3","22","10","13","62","1","1","1","1"
"32",32,"13","20","1","1","2","3","4","1","1","1","1","1","53","1","1","1","3","63","7","67","17","1","1","1","1"
"33",33,"1","1","1","4","2","3","4","5","4","3","1","1","45","1","1","3","3","2","10","4","13","1","1","1","1"
"34",34,"2","20","1","1","1","1","3","1","1","1","4","5","39","4","4","1","1","78","56","12","56","1","1","1","1"
"35",35,"4","58","3","2","3","2","5","4","3","2","5","4","73","2","2","1","1","29","33","74","23","1","1","2","2"
"36",36,"4","9","2","2","3","2","2","3","2","2","3","2","51","2","2","2","2","54","26","76","28","1","1","2","2"
"37",37,"26","83","2","2","3","2","2","3","2","2","5","4","89","2","2","1","6","11","8","20","47","1","1","2","2"
"38",38,"1","91","1","1","2","3","4","5","4","3","1","1","36","1","1","1","1","19","59","7","7","1","1","1","1"
"39",39,"1","25","1","1","2","3","4","5","4","3","1","1","33","1","1","1","1","19","11","20","2","1","1","1","1"
"40",40,"38","74","1","1","2","3","4","1","1","1","1","1","7","1","1","1","1","53","3","20","4","1","1","1","1"
"41",41,"38","70","1","1","2","3","4","1","1","1","1","1","49","1","1","1","1","36","7","6","4","1","1","1","1"
"42",42,"12","58","1","1","1","1","3","1","1","1","4","5","87","4","4","1","1","60","28","12","45","1","1","1","3"
"43",43,"35","62","1","1","1","1","3","1","1","1","4","5","53","4","4","1","1","7","60","28","1","1","1","1","3"
"44",44,"12","29","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","37","22","1","26","1","1","1","3"
"45",45,"18","30","1","4","2","3","4","5","4","3","1","1","81","1","1","3","1","76","61","16","32","3","1","1","1"
"46",46,"46","34","1","1","1","1","3","1","1","1","4","5","85","4","4","1","13","74","49","16","32","1","1","1","3"
"47",47,"24","51","1","1","2","4","1","2","1","1","2","3","66","3","3","1","1","8","50","31","12","1","1","1","1"
"48",48,"24","45","1","2","1","1","3","4","1","2","5","4","65","5","4","1","1","16","27","39","37","1","1","1","3"
"49",49,"1","82","1","1","2","3","4","1","4","1","1","1","39","1","1","1","1","7","7","42","7","1","1","1","1"
"50",50,"48","25","1","1","2","1","4","1","1","1","1","1","24","1","1","1","1","38","2","61","2","1","1","1","1"
"51",51,"37","20","1","1","2","3","4","1","1","1","1","1","36","1","1","1","1","16","27","11","27","1","1","1","1"
"52",52,"44","20","1","1","1","1","3","1","1","1","4","5","16","4","4","1","1","59","6","2","8","6","1","1","3"
"53",53,"2","25","1","1","2","3","4","1","1","1","1","1","35","1","1","1","1","7","17","23","2","1","1","1","1"
"54",54,"32","13","1","1","2","3","4","1","1","1","2","1","47","1","1","1","1","16","64","28","26","1","1","1","1"
"55",55,"36","12","1","1","1","1","3","1","1","1","4","5","74","4","4","1","1","14","3","21","14","1","1","1","3"
"56",56,"8","70","1","1","1","1","3","1","1","1","4","5","62","4","4","1","1","52","18","11","18","1","1","1","1"
"57",57,"1","22","1","1","2","3","4","1","1","3","1","1","52","1","1","1","1","53","39","34","21","1","1","1","1"
"58",58,"47","9","1","1","1","1","3","1","1","1","4","5","52","4","4","1","1","3","5","52","16","1","1","1","1"
"59",59,"49","70","1","1","1","1","3","1","1","1","4","5","65","4","4","1","1","21","8","41","3","10","1","1","3"
"60",60,"11","24","1","1","4","4","1","2","1","1","2","3","20","3","3","1","1","37","32","4","9","1","1","1","1"
"61",61,"10","54","1","1","4","4","1","2","1","1","2","3","65","3","3","1","10","16","50","15","60","1","1","1","1"
"62",62,"8","70","1","1","2","3","4","1","4","3","1","1","9","1","1","1","1","22","31","35","4","1","1","1","1"
"63",63,"11","32","1","1","1","1","1","2","1","1","4","3","9","3","3","1","1","21","3","14","22","1","1","1","1"
"64",64,"2","82","1","1","1","1","3","1","1","1","4","5","38","4","4","1","1","7","15","2","3","1","1","1","1"
"65",65,"1","1","1","1","2","1","4","1","1","1","4","1","61","4","1","1","1","16","17","38","9","1","1","1","1"
"66",66,"40","32","1","1","2","1","1","1","1","1","2","5","32","4","1","1","1","7","61","50","1","1","1","1","1"
"67",67,"1","34","1","1","1","1","3","1","1","1","4","5","8","4","1","1","1","24","18","41","1","1","1","1","1"
"68",68,"2","20","1","1","1","1","3","1","1","1","4","5","2","4","4","1","1","3","66","11","15","1","1","1","1"
"69",69,"2","30","1","1","1","1","3","1","1","1","4","5","94","4","1","1","1","34","71","11","3","15","1","1","1"
"70",70,"31","5","1","1","2","3","4","1","1","1","2","1","14","1","1","1","1","53","47","21","28","1","1","1","1"
"71",71,"56","52","1","1","2","1","4","1","1","1","4","1","39","4","1","1","1","51","39","23","28","1","1","1","1"
"72",72,"21","20","1","1","2","3","4","1","1","1","1","1","60","1","1","1","1","13","27","62","25","1","1","1","1"
"73",73,"49","31","1","1","4","6","1","2","1","1","2","3","51","6","3","1","1","46","12","38","6","1","1","1","1"
"74",74,"35","55","1","1","2","3","4","1","1","1","1","1","45","1","1","1","1","29","30","58","25","1","1","1","1"
"75",75,"44","58","1","1","1","1","3","1","1","1","4","5","21","4","4","1","1","44","1","4","32","1","1","1","3"
"76",76,"2","31","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","45","48","21","20","1","1","1","1"
"77",77,"40","64","1","1","2","3","4","1","1","1","1","1","50","1","1","1","1","14","48","28","19","1","1","1","1"
"78",78,"26","35","1","1","4","4","1","2","1","1","2","3","2","3","3","1","1","7","59","54","9","1","1","1","1"
"79",79,"2","64","1","1","1","1","3","1","1","1","4","5","19","4","4","1","1","20","6","28","4","1","1","1","1"
"80",80,"15","19","1","1","1","4","1","2","1","1","2","3","78","6","3","3","1","38","65","12","5","1","1","1","1"
"81",81,"8","64","1","1","1","1","1","2","1","1","2","3","18","3","3","1","1","14","30","29","9","2","1","1","1"
"82",82,"29","6","1","1","1","1","1","2","1","1","2","5","38","1","1","1","1","20","26","8","26","1","1","1","1"
"83",83,"29","20","1","1","4","4","1","2","1","1","2","3","38","3","3","1","1","21","15","59","25","1","1","1","1"
"84",84,"8","75","1","1","4","4","3","2","1","1","2","3","65","3","3","1","1","7","37","4","22","1","1","1","1"
"85",85,"2","20","1","4","2","3","4","5","4","3","1","1","59","1","1","1","1","9","9","20","20","1","1","1","1"
"86",86,"31","39","1","1","1","1","3","1","1","1","4","5","14","4","4","1","1","2","33","39","19","1","1","1","1"
"87",87,"2","42","1","1","1","1","3","1","1","1","4","5","48","4","4","1","1","45","59","13","56","1","1","1","1"
"88",88,"29","42","1","1","1","1","3","1","1","1","4","5","84","4","4","1","1","68","25","39","26","1","1","1","1"
"89",89,"31","54","1","1","4","4","1","2","1","1","2","3","46","3","3","1","20","67","77","9","8","1","1","1","1"
"90",90,"22","8","1","1","4","4","1","2","1","1","2","3","65","3","3","1","14","43","23","3","2","1","1","1","1"
"91",91,"24","33","1","1","2","1","3","1","1","1","4","5","22","1","1","1","1","75","29","25","13","1","1","1","1"
"92",92,"48","29","1","1","4","4","1","2","1","1","2","3","42","3","3","1","1","28","5","50","4","1","1","1","1"
"93",93,"2","18","1","1","2","3","4","1","1","1","1","1","14","1","1","1","1","38","8","49","20","1","1","1","1"
"94",94,"13","65","1","1","2","3","4","5","4","3","1","1","22","1","1","3","1","13","31","28","24","1","1","1","1"
"95",95,"51","61","2","2","3","2","2","3","2","2","5","4","36","2","2","1","1","30","8","49","17","1","1","2","2"
"96",96,"42","61","1","1","1","1","3","1","1","1","4","5","49","4","4","1","1","16","18","8","20","1","1","1","1"
"97",97,"2","1","1","1","1","1","3","1","1","1","4","5","17","4","4","1","1","18","38","5","22","1","1","1","3"
"98",98,"4","34","1","1","4","4","1","2","1","1","2","3","49","3","3","1","1","67","8","29","9","1","1","1","1"
"99",99,"34","15","1","1","2","4","1","2","1","1","2","3","80","1","3","1","1","7","31","8","8","1","1","1","1"
"100",100,"23","15","1","1","2","3","4","5","1","3","1","1","5","1","1","3","23","60","29","25","3","1","1","1","1"
"101",101,"52","57","3","2","3","2","2","3","3","4","5","4","59","5","2","1","17","10","48","4","6","1","1","2","4"
"102",102,"36","8","1","1","2","3","4","2","1","1","2","1","59","1","1","1","1","13","36","35","33","1","1","1","1"
"103",103,"33","45","4","2","3","1","2","3","3","5","5","4","77","5","5","1","1","16","11","14","5","1","1","2","5"
"104",104,"42","14","1","1","1","1","3","1","1","1","4","5","3","4","5","1","1","19","6","13","13","1","1","1","1"
"105",105,"2","57","1","1","2","3","4","1","1","1","1","1","15","1","1","1","1","9","6","60","25","1","1","1","1"
"106",106,"22","19","1","1","4","6","1","2","1","1","2","3","64","6","3","1","1","19","44","61","4","1","1","1","1"
"107",107,"16","65","1","1","1","1","3","1","1","1","4","5","72","4","4","1","1","48","26","15","1","1","1","1","1"
"108",108,"58","38","1","1","1","1","3","1","1","1","4","5","48","4","4","1","1","67","6","44","25","1","1","1","3"
"109",109,"2","13","3","3","5","5","5","4","3","4","5","4","49","5","4","1","1","9","11","69","31","1","1","3","4"
"110",110,"27","65","1","1","4","4","1","1","1","1","2","3","5","3","1","1","1","17","24","27","1","1","1","1","1"
"111",111,"4","9","2","2","3","2","2","3","3","2","5","4","48","2","2","1","1","47","2","22","18","1","1","2","2"
"112",112,"2","52","1","1","1","1","3","1","1","1","4","5","94","4","4","1","1","36","10","43","31","1","1","1","3"
"113",113,"34","78","1","4","2","3","4","5","4","3","1","1","12","1","1","3","1","34","47","9","6","1","1","1","1"
"114",114,"18","89","1","1","1","1","3","1","1","1","4","5","10","4","4","1","8","25","3","27","24","1","1","1","1"
"115",115,"10","85","1","1","4","4","1","2","1","1","2","3","14","3","3","1","1","74","8","29","9","1","1","1","1"
"116",116,"17","15","1","1","4","6","1","2","1","1","2","3","53","6","3","1","1","44","42","43","4","1","1","1","1"
"117",117,"13","34","1","1","2","3","4","1","1","1","1","1","51","1","1","1","1","8","64","30","14","1","1","1","1"
"118",118,"25","17","1","1","2","3","4","2","1","1","2","1","47","1","3","1","3","22","19","23","23","1","1","1","1"
"119",119,"2","77","1","1","1","1","3","1","1","1","4","5","84","4","4","1","1","5","33","2","2","1","1","1","3"
"120",120,"1","72","1","1","2","3","4","2","1","1","1","1","14","1","1","1","1","5","26","46","6","1","1","1","1"
"121",121,"2","59","1","1","2","1","4","1","1","1","4","1","32","1","1","1","10","8","33","52","20","1","1","1","1"
"122",122,"6","11","2","2","3","2","2","3","2","2","3","2","84","6","5","1","4","33","40","21","9","1","1","2","2"
"123",123,"10","12","1","1","4","4","1","2","1","1","2","3","11","3","3","1","1","5","28","8","3","1","1","1","1"
"124",124,"47","22","1","1","2","3","4","2","1","1","1","1","66","1","1","1","1","37","22","60","2","1","1","1","1"
"125",125,"1","23","1","1","2","3","4","1","1","1","1","1","6","1","1","1","1","46","38","35","40","1","1","1","1"
"126",126,"4","12","2","2","3","2","2","3","2","2","5","4","24","2","2","1","1","20","13","27","10","1","1","2","2"
"127",127,"1","67","1","1","1","1","3","1","1","1","4","5","14","4","3","1","1","10","52","2","31","2","1","1","1"
"128",128,"29","36","1","1","2","4","1","2","1","1","2","1","56","1","1","1","3","35","33","45","5","1","1","1","1"
"129",129,"27","50","1","1","1","1","3","1","1","1","4","5","49","4","4","1","1","17","44","22","2","1","1","1","1"
"130",130,"1","78","1","1","2","3","4","5","4","3","1","1","6","1","1","3","3","45","19","32","47","1","1","1","1"
"131",131,"13","77","2","2","3","2","2","3","2","2","5","4","5","2","2","1","1","25","70","9","21","1","1","2","2"
"132",132,"27","78","1","4","8","3","4","5","4","3","1","1","31","1","1","1","1","37","44","46","34","1","1","1","1"
"133",133,"16","88","1","1","2","1","4","1","1","1","4","1","22","1","1","1","1","61","35","76","33","1","1","1","1"
"134",134,"41","58","1","1","4","4","1","2","1","1","2","3","10","3","3","1","1","45","70","21","42","1","1","1","1"
"135",135,"1","4","2","2","3","2","2","3","2","2","3","2","67","2","2","1","1","61","44","1","10","1","1","2","2"
"136",136,"1","29","1","2","1","1","3","1","3","2","5","5","1","5","4","1","3","32","66","1","42","1","1","2","3"
"137",137,"4","39","1","1","4","4","1","2","1","1","2","3","71","3","3","1","1","37","10","35","18","1","1","1","1"
"138",138,"44","24","1","1","2","3","4","1","1","1","1","1","67","1","1","1","9","2","19","23","1","1","1","1","1"
"139",139,"8","19","1","1","1","1","3","1","1","1","4","5","75","4","4","1","1","2","50","34","30","1","1","1","3"
"140",140,"57","11","2","2","3","2","2","3","2","2","5","4","42","2","2","1","1","49","62","32","27","1","1","2","2"
"141",141,"7","19","2","2","3","2","2","3","2","2","3","2","49","2","2","1","1","4","61","55","19","1","1","2","2"
"142",142,"8","47","1","1","4","4","1","2","1","1","2","3","21","3","3","1","1","8","6","46","29","1","1","1","1"
"143",143,"8","10","4","2","3","2","2","3","2","2","5","4","62","2","2","1","10","8","13","42","47","1","1","2","2"
"144",144,"7","10","1","2","4","6","1","2","2","1","2","3","32","6","3","2","2","26","6","53","8","1","1","1","1"
"145",145,"8","68","1","1","4","1","1","1","1","1","4","5","4","3","1","1","1","57","72","46","24","1","1","1","1"
"146",146,"7","93","1","1","4","6","1","2","1","1","2","3","11","6","3","1","1","16","13","50","44","1","1","1","1"
"147",147,"4","50","1","1","4","4","1","2","1","1","2","3","1","3","3","1","1","40","6","23","12","1","1","1","1"
"148",148,"13","50","2","2","3","2","2","3","2","2","5","2","88","5","2","1","1","9","72","19","2","1","1","2","2"
"149",149,"4","50","4","2","3","2","2","3","3","5","5","4","63","5","2","1","1","74","33","8","47","1","1","2","5"
"150",150,"44","11","1","1","4","4","1","2","1","1","2","3","6","3","3","1","1","9","22","26","2","1","1","1","1"
"151",151,"4","35","3","3","5","5","5","4","3","4","5","4","8","5","5","1","1","13","7","24","44","1","1","3","4"
"152",152,"44","41","1","1","2","4","1","2","1","1","2","3","25","3","3","1","1","40","68","50","16","1","1","1","1"
"153",153,"1","11","2","2","3","2","2","3","2","2","5","4","29","2","2","1","2","76","17","21","6","1","1","2","2"
"154",154,"44","4","1","1","4","4","1","2","1","1","2","3","49","3","3","1","1","15","9","50","27","1","1","1","1"
"155",155,"37","42","2","2","3","2","2","3","2","2","5","4","62","2","2","1","1","70","29","59","16","1","1","2","2"
"156",156,"30","28","2","2","3","2","2","3","2","2","3","2","8","2","2","1","2","69","35","32","44","1","1","2","2"
"157",157,"51","45","1","1","1","1","3","1","1","1","4","5","27","4","4","1","1","56","20","32","10","1","1","1","1"
"158",158,"2","59","1","3","1","5","1","2","3","1","2","3","55","6","3","1","1","35","75","32","27","1","1","1","1"
"159",159,"62","11","1","2","4","6","1","2","1","1","2","3","59","6","3","1","23","17","26","27","10","1","1","1","1"
"160",160,"10","32","1","1","1","1","3","1","1","1","4","5","80","4","4","1","1","77","42","43","13","1","1","1","1"
"161",161,"4","45","2","2","3","2","2","3","2","2","3","2","22","2","2","1","1","52","65","23","13","1","1","2","2"
"162",162,"9","33","3","6","1","1","3","4","3","5","5","4","75","5","4","1","23","28","25","5","19","10","1","1","5"
"163",163,"10","67","1","2","1","1","3","1","3","5","5","4","58","5","5","1","1","52","7","31","30","1","1","2","5"
"164",164,"4","44","1","1","3","2","5","4","3","4","5","3","27","5","5","1","1","35","62","10","25","1","1","1","4"
"165",165,"1","69","1","2","3","2","2","3","1","2","3","2","50","6","2","1","14","53","5","42","21","1","1","2","2"
"166",166,"3","29","4","2","3","2","2","3","2","2","5","4","25","2","2","1","1","57","28","9","2","1","1","2","2"
"167",167,"21","85","1","1","1","1","3","1","3","1","5","4","42","5","4","1","1","29","16","43","2","1","1","1","3"
"168",168,"23","68","1","1","2","1","4","1","1","1","1","5","11","1","1","1","1","57","26","22","54","1","1","1","1"
"169",169,"8","10","2","2","3","2","2","3","2","2","3","2","74","2","2","1","21","29","25","19","17","1","1","2","2"
"170",170,"17","49","2","2","3","2","2","3","2","2","3","2","58","2","2","1","16","62","6","35","40","1","1","2","2"
"171",171,"11","56","1","1","4","4","1","2","1","1","2","3","13","3","3","1","1","23","64","11","22","1","1","1","1"
"172",172,"41","17","1","1","4","4","1","2","1","1","2","3","42","3","3","1","1","10","62","70","24","1","1","1","1"
"173",173,"56","77","1","1","2","3","4","1","4","1","1","1","78","1","1","1","9","46","7","19","48","1","1","1","1"
"174",174,"15","89","4","2","3","1","3","4","3","5","5","4","9","5","4","1","1","26","11","21","40","1","1","2","5"
"175",175,"2","59","1","1","4","6","1","2","1","1","2","3","67","6","3","1","1","65","69","7","23","1","1","1","1"
"176",176,"2","46","1","2","4","6","1","3","1","1","2","3","20","6","3","1","1","9","52","9","48","1","1","1","1"
"177",177,"2","62","1","1","1","1","3","1","1","1","4","5","16","4","4","1","1","17","3","48","26","1","1","1","3"
"178",178,"16","29","1","2","3","2","2","2","2","5","5","4","35","6","3","1","1","24","3","36","36","1","1","7","2"
"179",179,"4","45","1","1","1","1","3","1","1","1","4","5","59","4","4","1","1","42","64","26","60","1","1","1","3"
"180",180,"4","59","1","1","1","1","3","1","1","1","4","5","12","4","4","1","1","9","8","15","25","1","1","1","3"
"181",181,"4","65","2","2","3","6","1","2","1","1","2","3","67","6","3","1","1","1","57","45","26","1","1","2","1"
"182",182,"8","57","1","1","1","1","3","1","1","1","4","4","73","4","4","1","1","40","10","26","36","1","1","1","3"
"183",183,"2","8","2","2","3","2","2","3","2","2","3","2","94","2","2","1","1","59","74","19","6","1","1","2","2"
"184",184,"2","88","1","1","1","1","3","1","1","4","4","5","38","5","4","1","1","39","16","42","19","1","1","1","3"
"185",185,"2","61","1","1","2","1","4","1","1","1","4","1","4","1","1","1","1","12","33","11","4","1","1","1","1"
